Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
SonyAIBORobotSurface1;533;587;1.0;0.8133333333333334;1.0;0.7546685906685903;0.42;0.59;1.0;0.7496666666666666;1.0;0.6743744107744103;27;492;1.0;791;1.0;791;0.0;622;1.0;0.7503333333333333;1.0;0.7503333333333333
SmoothSubspace;674;709;0.9027777777777778;0.8263888888888888;0.7524401524401525;0.6209494209494211;158;338;0.9944444444444445;0.8958333333333334;0.9802116402116402;0.6426556159889494;5;203;1.0;925;1.0;925;0.0;1.089;1.0;0.8833333333333333;1.0;0.8833333333333333
SmallKitchenAppliances;175;1.085;0.9809782608695652;0.5271739130434783;0.9217391304347826;0.2798284646110734;616;653;0.7505434782608695;0.7396739130434783;0.5131665436013261;0.4891215467302421;319;625;0.903804347826087;0.754891304347826;0.7225115946855072;0.754891304347826;203;1.844;0.9467391304347826;0.7353260869565217;0.8220582316234489;0.7353260869565217
ShapesAll;1.228;2.083;0.7716666666666666;0.6133333333333333;0.5692724376152949;0.3913888920603208;555;1.028;955;0.8119999999999999;0.8661523513523515;0.6231248798115465;16;646;1.0;867;1.0;867;0.0;5.014;1.0;0.8316666666666667;1.0;0.8316666666666667
ShapeletSim;175;693;1.0;0.48295454545454547;0.5;0.3600899100899101;366;642;1.0;0.6647727272727273;0.5;0.4132909514727697;11;436;1.0;0.8795454545454545;0.5;0.8795454545454545;0.0;227;1.0;0.9295454545454546;0.5;0.9295454545454546
ShakeGestureWiimoteZ;706;1.246;0.8958333333333334;0.5625;0.7745149911816579;0.3595719095719095;613;1.16;0.9666666666666667;0.7833333333333333;0.9074074074074074;0.654510582010582;15;1.112;1.0;0.8541666666666666;1.0;0.8541666666666666;0.0;6.55;1.0;0.8458333333333333;1.0;0.8458333333333333
SemgHandSubjectCh2;186;0.59;0.9665178571428571;0.8147321428571429;0.8836734693877554;0.5064549537763819;533;722;0.8401785714285714;0.7258928571428571;0.5645244834530544;0.4169938956546098;47;473;1.0;0.8441964285714285;1.0;0.8441964285714285;0.0;2.384;1.0;0.840625;1.0;0.840625
SemgHandMovementCh2;392;1.248;0.9084821428571429;0.5111607142857143;0.7318012344798062;0.24125402375402377;982;1.319;0.6870535714285714;0.4558035714285714;0.3431365519401234;0.20668664503485928;147;1.175;0.9919642857142857;0.5401785714285714;0.9657142857142857;0.5401785714285714;1;3.894;1.0;0.5566964285714285;1.0;0.5566964285714285
SemgHandGenderCh2;179;367;0.9763513513513513;0.8566666666666667;0.5042471042471043;0.3306373626373627;337;442;0.8689189189189189;766;0.47832887832887844;0.3302075702075703;84;331;0.9979729729729729;0.8463333333333334;0.5131531531531531;0.8463333333333334;1;836;1.0;0.8533333333333334;0.5135135135135135;0.8533333333333334
ScreenType;593;1.151;0.7853260869565217;0.41847826086956524;0.4669349973697799;0.23978485282833112;858;1.087;0.6233695652173913;0.42934782608695654;0.3625383071035245;0.25867819780863266;443;1.362;0.8760869565217392;0.4407608695652174;0.624382573947791;0.4407608695652174;0.12;4.892;0.9652173913043478;0.4614130434782609;0.8546583850931677;0.4614130434782609
Rock;3;1.07;1.0;0.75;1.0;0.6055555555555556;479;786;1.0;0.6916666666666667;1.0;0.49507578840912175;8;702;1.0;0.7291666666666666;1.0;0.7291666666666666;0.0;2.545;1.0;725;1.0;725
RefrigerationDevices;367;1.138;0.9130434782608695;0.36684782608695654;0.7289271115358068;0.18111268763442684;551;917;0.7858695652173914;0.5739130434782609;0.5891787761352977;0.3755952903778991;127;1.18;0.9891304347826086;0.5945652173913043;0.9613024656502918;0.5945652173913043;2;6.507;1.0;0.5418478260869565;1.0;0.5418478260869565
ProximalPhalanxTW;477;652;815;0.8;0.6707914862914863;0.6767530728530727;0.28;0.7;0.9275;752;0.8537535738335739;0.5806493203093203;13;804;1.0;742;1.0;742;0.0;4.291;1.0;732;1.0;732
ProximalPhalanxOutlineCorrect;0.51;464;785;0.8541666666666666;0.8315405335405331;0.8678952220618888;328;386;879;0.8243055555555555;0.8989621045621038;0.8458527583527585;0.08;394;993;0.8534722222222222;0.9940354164354163;0.8534722222222222;1;1.092;1.0;0.8395833333333333;1.0;0.8395833333333333
ProximalPhalanxOutlineAgeGroup;423;471;865;855;0.7644445184445184;0.6849701409701409;268;503;0.9175;839;0.8409094091094093;0.6930785510785511;0.02;692;1.0;832;1.0;832;0.0;3.865;1.0;821;1.0;821
PowerCons;136;149;0.9715909090909091;0.9659090909090909;0.5783549783549784;0.5601731601731602;224;339;0.9329545454545455;0.8488636363636364;0.5645375836284927;0.5002052492961584;18;195;1.0;0.9340909090909091;0.5909090909090909;0.9340909090909091;0.0;363;1.0;0.9306818181818182;0.5909090909090909;0.9306818181818182
Plane;129;159;1.0;0.9807692307692307;1.0;0.9743589743589745;43;97;1.0;0.9942307692307693;1.0;0.991965811965812;0.0;15;1.0;0.9942307692307693;1.0;0.9942307692307693;0.0;237;1.0;0.9807692307692307;1.0;0.9807692307692307
PigCVP;58;3.833;1.0;0.10096153846153846;1.0;0.05227716727716729;1.084;2.234;1.0;0.676923076923077;1.0;0.41652293738008017;14;1.189;1.0;0.8173076923076923;1.0;0.8173076923076923;0.0;6.866;1.0;0.5201923076923077;1.0;0.5201923076923077
