Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
StarLightCurves;0.8637096643447876;0.8537937760353088;0.7820410132408142;0.7527880668640137;0.987768828868866;0.9518482526143391;0.9780320584774017;0.9206577360630035;1.0;0.9582360585530598;1.0;0.9289747754732767;1.0;0.9558041493097941;1.0;0.9275244990984598
SonyAIBORobotSurface2;0.9611111111111111;0.8080255033587108;0.9619753109084236;0.7877831928877616;1.0;0.6309415460508493;1.0;0.7307135136905523;1.0;0.698894657655878;1.0;0.7307135136905523;1.0;0.7010226448585455;1.0;0.7307135136905523
SonyAIBORobotSurface1;0.9875;0.7574043216800531;0.9833333343267441;0.6573677558668838;1.0;0.6609007534885565;1.0;0.5607804962481913;1.0;0.7071277602936781;1.0;0.5607804962481913;1.0;0.7101969659625988;1.0;0.5607804962481913
SmoothSubspace;0.9138333333333334;0.8061250000000001;0.8857458528677623;0.6547274505297344;1.0;0.7719583333333334;1.0;0.5387443339029948;1.0;0.8265416666666667;1.0;0.624875923395157;1.0;0.815625;1.0;0.6210534657637279
SmallKitchenAppliances;0.9971515178680419;0.5420303016344706;0.9974535451253255;0.33144990480740866;0.7807090914408366;0.6579515165011088;0.7403656688372293;0.41415453095436094;0.9806303065617878;0.6664969688733419;0.979123711268107;0.40390607697168984;0.9954424256006876;0.643206061108907;0.9941643752415975;0.38941593281428016
ShapesAll;0.847916665673256;0.6270833283662796;0.7587665498256684;0.4274639919400215;0.9965277910232544;0.6437500029802322;0.9935185194015503;0.45513022541999815;1.0;0.6993055522441864;1.0;0.5219375252723694;1.0;0.6173611104488372;1.0;0.4423206314444542
ShapeletSim;1.0;0.4931818187236786;1.0;0.5030303001403809;1.0;0.5579545438289643;1.0;0.5030303001403809;1.0;0.7215909093618393;1.0;0.5030303001403809;1.0;0.7909090936183929;1.0;0.5030303001403809
ShakeGestureWiimoteZ;988;0.5355;0.9862857151031494;0.4357365124225616;1.0;558;1.0;0.44714100731909273;1.0;573;1.0;0.45320794215798377;1.0;539;1.0;0.4438857191950083
SemgHandSubjectCh2;1.0;0.8322460253768498;1.0;0.5880005525218116;0.8973650806479984;0.6549603136380513;0.8592264618873596;0.39248093385166594;1.0;0.7488183322393812;1.0;0.4809775671690083;1.0;0.7393174594773186;1.0;0.46875251813729607
SemgHandMovementCh2;0.9959920549922519;0.5084365098741319;0.9926610227160984;0.2599893138077524;0.7888333371480306;0.39057143154409196;0.7158696278201209;0.20075592709912193;1.0;0.45718525152001255;1.0;0.21467114786896577;1.0;0.4477896806266573;1.0;0.22435549840662214
SemgHandGenderCh2;0.9986111104488373;0.865972226858139;0.9763668447732925;0.3275132328271866;0.898611119389534;0.7263888925313949;0.8730901151895523;0.3275132328271866;1.0;0.785763892531395;0.9777777791023254;0.3275132328271866;1.0;0.8020833373069763;0.9777777791023254;0.3275132328271866
ScreenType;0.8919636439323425;0.43355757657686866;0.869009913667043;0.3273050513267517;0.7084363674163818;0.42953939407666525;0.6663067836125691;0.3273050513267517;0.9966060638427733;0.4284242376804352;0.9960962877273559;0.3273050513267517;1.0;0.43354545238812764;1.0;0.3273050513267517
Rock;1.0;0.8110000088214874;1.0;0.7840888910293579;1.0;0.5449999965429305;1.0;0.41693757009506227;1.0;0.5696666631698608;1.0;0.4236111127138138;1.0;0.5496666592359543;1.0;0.4151830735206604
RefrigerationDevices;0.9874787938435872;0.3664969703674316;0.9831902822494506;0.3273050513267517;0.8301090860684712;0.5216848561922709;0.7975727697054544;0.3273050513267517;1.0;0.5589671310857567;1.0;0.32197280685251406;1.0;0.5443393963495889;1.0;0.3273050513267517
ProximalPhalanxTW;0.8499999940395355;0.7956504074538626;0.7083607584238052;0.629046315041984;0.9755208313465118;0.7165447233944404;0.951077339053154;0.5472659240117886;1.0;0.7381910589264661;1.0;0.5668717472727706;1.0;0.7288008090344871;1.0;0.5645690659778875
ProximalPhalanxOutlineCorrect;0.8173611164093018;0.8479381463781664;0.8616901725530625;0.8417207293903705;0.8847222238779068;0.7979285976731081;0.9110982835292816;0.8013209282327763;1.0;0.8055746464794854;1.0;0.8085157949080581;1.0;0.7882206952039319;1.0;0.7918836011919369
